productAsin,country,isVerified,ratingScore,reviewTitle,reviewDescription,reviewUrl,reviewedIn,variant,variantAsin,lemmatized_reviewDescription,stemmed_reviewDescription,color,size,word_count,any_neg,char_count,sentiment,sentiment_label
B09G9BL5CP,India,True,5,Truly worth the money spent! Even if you go broke!,"My honest review after going broke buying this depreciating object.I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.Speakers are Great.Battery life is better than my previous devices,iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.Truly worth it.",https://www.amazon.in/gp/customer-reviews/R1ROPVLONGNUAZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 6 February 2022,Colour: PinkSize: 256 GB,B09G9HRYFZ,honest review going broke buying depreciating object using android phone since last 10 year finally decided switch iphone used roast iphone price lack feature also thing like power adapter given box etc last android phone iqoo 7 legend lot software related issue battery issue updating android 12 tired bug software glitch android finally decided buy iphone switch android io boy right never even held iphone life price made great choice even spend saving iphone 13 smooth even iqoo 7 legend 120hz feel slower even iphone 60hz cant believe im seeing gamesapps much smoother optimised android sceptical charging speed iphone iqoo 66w fast charger iphone buy 20w separate fast charger 1800rs charging speed isnt disappointing display quality truly flagship level im quite fan small 6 1 display believe able reach top display one hand helpful build quality great would recommend waste extra 40k buying 13 pro dont think extra camera telephoto lens worth spending 40k see 3rd image attached quality wide angle camera pic shot iphone 13 wide angle camera struggle low light main camera really good capture true colour front camera really good truly flagship speaker great battery life better previous device io optimised term battery life easy 8hrs sot normal usage note playing bgmi loose around 2 battery every 6minutes hd extreme graphic also good pro max would far better term battery software yes feel like downside even software smooth le bug two annoying thing game get paused open control centre check battery etc lock screen annoying also reach top left corner see notification also annoying clearing notification also annoying perfect 1010 purchase disappointed paid iphone received truly happy bought truly worth,honest review go broke buy depreci object use android phone sinc last 10 year final decid switch iphon use roast iphon price lack featur also thing like power adapt given box etc last android phone iqoo 7 legend lot softwar relat issu batteri issu updat android 12 tire bug softwar glitch android final decid buy iphon switch android io boy right never even held iphon life price made great choic even spend save iphon 13 smooth even iqoo 7 legend 120hz feel slower even iphon 60hz cant believ im see gamesapp much smoother optimis android sceptic charg speed iphon iqoo 66w fast charger iphon buy 20w separ fast charger 1800r charg speed isnt disappoint display qualiti truli flagship level im quit fan small 6 1 display believ abl reach top display one hand help build qualiti great would recommend wast extra 40k buy 13 pro dont think extra camera telephoto len worth spend 40k see 3rd imag attach qualiti wide angl camera pic shot iphon 13 wide angl camera struggl low light main camera realli good captur true colour front camera realli good truli flagship speaker great batteri life better previou devic io optimis term batteri life easi 8hr sot normal usag note play bgmi loos around 2 batteri everi 6minut hd extrem graphic also good pro max would far better term batteri softwar ye feel like downsid even softwar smooth less bug two annoy thing game get paus open control centr check batteri etc lock screen annoy also reach top left corner see notif also annoy clear notif also annoy perfect 1010 purchas disappoint paid iphon receiv truli happi bought truli worth,pink,256GB,273,0,1446,0.9952,positive
B09G9BL5CP,India,True,5,I love it,Nice,https://www.amazon.in/gp/customer-reviews/R66RSI0SENEH2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 6 July 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ,nice,nice,pink,256GB,1,0,4,0.4215,positive
B09G9BL5CP,India,True,5,It’s a legit iPhone,It’s a perfect iPhone I highly recommend this seller . Great price on their sale. The phone is good,https://www.amazon.in/gp/customer-reviews/R2S11RNO5ELEDP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 18 May 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ,perfect iphone highly recommend seller great price sale phone good,perfect iphon highli recommend seller great price sale phone good,pink,256GB,10,0,57,0.9294,positive
B09G9BL5CP,India,True,5,Worth every penny,What I like about this phone is that it is quite reasonable comparing other iphones and Is very good and nice to use.,https://www.amazon.in/gp/customer-reviews/R2B0L31IXBMHLA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 11 March 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ,like phone quite reasonable comparing iphones good nice use,like phone quit reason compar iphon good nice use,pink,256GB,9,0,51,0.802,positive
B09G9BL5CP,India,True,4,Nice.,I bought the product little expensive. Within a month price dropped by Rs.17000.,https://www.amazon.in/gp/customer-reviews/R1BZJOMYXF9K7M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 12 October 2023,Colour: PinkSize: 256 GB,B09G9HRYFZ,bought product little expensive within month price dropped r 17000,bought product littl expens within month price drop rs 17000,pink,256GB,10,0,57,0.0,negative
B09G9BL5CP,India,True,5,Worth the product,"Though we talk a lot about high price for iPhones, this is worth the amount. Smooth touch, perfect to hold in hand. For the screen size of 6.1"", it looks small overall. I could have gone for pro max but more than 1.5L budget is way too much for me :-)* Good battery back-up (With low battery mode always on, 5 hours of talk-time, around 2 hours of twitter and 2 hours of whatsapp usage, 1 hour of songs listening, 1 hour of rummy/candy crush games and notification of all these items, the battery comes for more than 24 hours for me)* Getting charged quickly from 20% to 100% within 2 hours* Perfect camera and I love that 'Live' photo option* Body design is awesome. When I held it in my hand for the first time, felt really happy about the design and the size of the iPhone 13.",https://www.amazon.in/gp/customer-reviews/RUT3AECX0D2CJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 11 March 2022,Colour: PinkSize: 256 GB,B09G9HRYFZ,though talk lot high price iphones worth amount smooth touch perfect hold hand screen size 6 1 look small overall could gone pro max 1 5l budget way much good battery backup low battery mode always 5 hour talktime around 2 hour twitter 2 hour whatsapp usage 1 hour song listening 1 hour rummycandy crush game notification item battery come 24 hour getting charged quickly 20 100 within 2 hour perfect camera love live photo option body design awesome held hand first time felt really happy design size iphone 13,though talk lot high price iphon worth amount smooth touch perfect hold hand screen size 6 1 look small overal could gone pro max 1 5l budget way much good batteri backup low batteri mode alway 5 hour talktim around 2 hour twitter 2 hour whatsapp usag 1 hour song listen 1 hour rummycandi crush game notif item batteri come 24 hour get charg quickli 20 100 within 2 hour perfect camera love live photo option bodi design awesom held hand first time felt realli happi design size iphon 13,pink,256GB,90,0,422,0.9806,positive
B09G9BL5CP,India,True,3,It's been a week since I've been using this phone,Works just fine nothing special the camera is also good but during night it's not what I expected it to be and you have to charge the phone twice if you use it a lot it also heat sometimes it it doesn't like but sometimes it doesn't feel very smooth I don't know if it's value for money,https://www.amazon.in/gp/customer-reviews/R2WHHBNWQ6YL9K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 31 October 2023,Colour: PinkSize: 256 GB,B09G9HRYFZ,work fine nothing special camera also good night expected charge phone twice use lot also heat sometimes doesnt like sometimes doesnt feel smooth dont know value money,work fine noth special camera also good night expect charg phone twice use lot also heat sometim doesnt like sometim doesnt feel smooth dont know valu money,pink,256GB,27,0,141,-0.1788,negative
B09G9BL5CP,India,True,5,Great,Loved it,https://www.amazon.in/gp/customer-reviews/RZQ10EXG69IQX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 29 November 2023,Colour: PinkSize: 256 GB,B09G9HRYFZ,loved,love,pink,256GB,1,0,5,0.5994,positive
B09G9BL5CP,India,True,5,Same as shown in pictures,There’s no same day delivery Phone was delivered to me in 3-4 days. I had to purchase  the phone thrice so on the third attempt I finally received the phone. Battery life is better than iPhone XR. Phone is same as shown in pictures. Amazon refund policy is good. I received both refunds within 24 hours.,https://www.amazon.in/gp/customer-reviews/R1ZGOKCP4HIKP0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 8 September 2022,Colour: PinkSize: 256 GB,B09G9HRYFZ,there day delivery phone delivered 34 day purchase phone thrice third attempt finally received phone battery life better iphone xr phone shown picture amazon refund policy good received refund within 24 hour,there day deliveri phone deliv 34 day purchas phone thrice third attempt final receiv phone batteri life better iphon xr phone shown pictur amazon refund polici good receiv refund within 24 hour,pink,256GB,32,0,176,0.7579,positive
B09G9BL5CP,India,True,2,My device is not working need help,My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document,https://www.amazon.in/gp/customer-reviews/R2TDE5OQNJ9WJR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 14 February 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ,device working switched offiam able download invoice warranty documenthow get itservice center asking document,devic work switch offiam abl download invoic warranti documenthow get itservic center ask document,pink,256GB,14,0,97,0.0,negative
B09G9BL5CP,India,True,5,Its the best,Best,https://www.amazon.in/gp/customer-reviews/RB5GEL844W4OU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 6 August 2024,Colour: BlueSize: 256 GB,B09G93H3BR,best,best,blue,256GB,1,0,4,0.6369,positive
B09G9BL5CP,India,True,3,Not worth,Not worth,https://www.amazon.in/gp/customer-reviews/R3S8NCTCPRK90Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 25 June 2024,Colour: BlueSize: 256 GB,B09G93H3BR,worth,worth,blue,256GB,1,0,5,0.2263,positive
B09G9BL5CP,India,True,3,Improved version of iPhone 11,Nothing new features only model changed,https://www.amazon.in/gp/customer-reviews/R2QO7SAC741QEC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 12 May 2024,Colour: BlueSize: 256 GB,B09G93H3BR,nothing new feature model changed,noth new featur model chang,blue,256GB,5,0,29,0.0,negative
B09G9BL5CP,India,True,2,Doubtful,Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 😕😕😕.,https://www.amazon.in/gp/customer-reviews/R2QYG29TK95ACF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 21 July 2024,Colour: BlueSize: 256 GB,B09G93H3BR,seal teared stricker put dont know whether new refurbished working,seal tear stricker put dont know whether new refurbish work,blue,256GB,10,0,57,0.0,negative
B09G9BL5CP,India,True,5,Amazing and Best value for money Iphone,"This phone has well balanced HD oled sDisplay. Colours are accurate. Camera quality is very good even with 12 MP cameras. Selfies and portrait look good, but selfies indoor required little improvement which can be done through software. Battery back up is great. Faster transfer using Airdrop. I am getting a 1 and half day of battery backup with normal usage. Overall a perfect smartphone with ios experience.",https://www.amazon.in/gp/customer-reviews/R1IOPFMC9XS0GR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 4 November 2023,Colour: BlueSize: 256 GB,B09G93H3BR,phone well balanced hd oled sdisplay colour accurate camera quality good even 12 mp camera selfies portrait look good selfies indoor required little improvement done software battery back great faster transfer using airdrop getting 1 half day battery backup normal usage overall perfect smartphone io experience,phone well balanc hd ole sdisplay colour accur camera qualiti good even 12 mp camera selfi portrait look good selfi indoor requir littl improv done softwar batteri back great faster transfer use airdrop get 1 half day batteri backup normal usag overal perfect smartphon io experi,blue,256GB,46,0,266,0.9546,positive
B09G9BL5CP,India,True,5,Good,Good not like android,https://www.amazon.in/gp/customer-reviews/R1SB54DZIRZFGI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 15 February 2024,Colour: BlueSize: 256 GB,B09G93H3BR,good like android,good like android,blue,256GB,3,0,15,0.6597,positive
B09G9BL5CP,India,True,5,Supar mobile phone,Good charge,https://www.amazon.in/gp/customer-reviews/R386I6XKKRUPQN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 24 January 2024,Colour: BlueSize: 256 GB,B09G93H3BR,good charge,good charg,blue,256GB,2,0,10,0.4404,positive
B09G9BL5CP,India,True,4,Good but it’s not recommended to all,Actually I’m android user now switched to iPhone user experience is good but camera quality isn’t meet my expectations when taken photos on day times and little low lights you’ll get good quality photos. Night mode is worst. Battery is good for moderate users. Phone is very compact and display quality really awesome. My conclusion if you looking for privacy and protect from hackers definitely iPhone is safe. Those who are all moderate user and then buy this model,https://www.amazon.in/gp/customer-reviews/R334THP5JBZCC7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 7 April 2022,Colour: BlueSize: 256 GB,B09G93H3BR,actually im android user switched iphone user experience good camera quality isnt meet expectation taken photo day time little low light youll get good quality photo night mode worst battery good moderate user phone compact display quality really awesome conclusion looking privacy protect hacker definitely iphone safe moderate user buy model,actual im android user switch iphon user experi good camera qualiti isnt meet expect taken photo day time littl low light youll get good qualiti photo night mode worst batteri good moder user phone compact display qualiti realli awesom conclus look privaci protect hacker definit iphon safe moder user buy model,blue,256GB,51,0,293,0.937,positive
B09G9BL5CP,India,True,5,Good,Very good I am happy,https://www.amazon.in/gp/customer-reviews/R2PVS4ORKRAUKA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 10 December 2023,Colour: BlueSize: 256 GB,B09G93H3BR,good happy,good happi,blue,256GB,2,0,9,0.765,positive
B09G9BL5CP,India,True,4,Good,Works fine,https://www.amazon.in/gp/customer-reviews/RLSUAWT4HS9DS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 10 August 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,work fine,work fine,green,256GB,2,0,8,0.2023,positive
B09G9BL5CP,India,True,4,Good,Cool,https://www.amazon.in/gp/customer-reviews/RV70X0EJA15YG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 18 July 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,cool,cool,green,256GB,1,0,4,0.3182,positive
B09G9BL5CP,India,True,5,Apple phone,"As it is an apple product, quality is ensured and proven",https://www.amazon.in/gp/customer-reviews/R159GE2Q7WQVXW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 22 August 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,apple product quality ensured proven,appl product qualiti ensur proven,green,256GB,5,0,32,0.0,negative
B09G9BL5CP,India,True,5,Dear Apple,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback,https://www.amazon.in/gp/customer-reviews/R2FR17VE2M2MWJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 7 July 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,phone bent reason kindly infirm check warrenty period get feedback,phone bent reason kindli infirm check warrenti period get feedback,green,256GB,10,0,57,0.4939,positive
B09G9BL5CP,India,True,5,excellent,fine,https://www.amazon.in/gp/customer-reviews/R3MSUJ1PH2TDUF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 1 June 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,fine,fine,green,256GB,1,0,4,0.2023,positive
B09G9BL5CP,India,True,5,It's good for content creation,"I mainly bought it for content creation because the software optimization was good and also because I use macbook air so data transfer between iphone is quicker than the android one, basically less hassle.Love the photo and video quality.It's also mostly for work than personal use. Customization is a bit hard but I also use android as primary phone so not an issue for me.Overall a good purchase for me.",https://www.amazon.in/gp/customer-reviews/R3DEEQS24TWLBD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 11 October 2023,Colour: GreenSize: 256 GB,B09V4MXBSN,mainly bought content creation software optimization good also use macbook air data transfer iphone quicker android one basically le hassle love photo video quality also mostly work personal use customization bit hard also use android primary phone issue overall good purchase,mainli bought content creation softwar optim good also use macbook air data transfer iphon quicker android one basic less hassl love photo video qualiti also mostli work person use custom bit hard also use android primari phone issu overal good purchas,green,256GB,41,0,236,0.9231,positive
B09G9BL5CP,India,True,2,No airdrop and personal hotspot .,"I bought this iPhone 13 . There was a manufacturing defect as this phone doesn’tHave  personal hotspot and Airdrop . It’s blocked , not turning on . Deception . I can’t afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone .",https://www.amazon.in/gp/customer-reviews/R1293VGUFGE1PA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 2 July 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,bought iphone 13 manufacturing defect phone doesnthave personal hotspot airdrop blocked turning deception cant afford foreign friend bought iphone position even return iphone,bought iphon 13 manufactur defect phone doesnthav person hotspot airdrop block turn decept cant afford foreign friend bought iphon posit even return iphon,green,256GB,23,0,152,-0.8413,negative
B09G9BL5CP,India,True,5,Amazing phone,I received iPhone 13 timely.Product is working great.It improved my lifestyle  as  well.Camera quality is awesome. Battery performance is pretty good.Thanks to Amazon for your great service.,https://www.amazon.in/gp/customer-reviews/R2WIVLELOU57FV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 29 November 2023,Colour: GreenSize: 256 GB,B09V4MXBSN,received iphone 13 timely product working great improved lifestyle well camera quality awesome battery performance pretty good thanks amazon great service,receiv iphon 13 time product work great improv lifestyl well camera qualiti awesom batteri perform pretti good thank amazon great servic,green,256GB,21,0,134,0.9803,positive
B09G9BL5CP,India,True,3,"Not that great deal. Battery performance, heating,hanging","Facing heating issue, Battery performance is not that good. On screen 12 hrs only as of now. Hanging in between, which we didn’t expect from Apple. Look is fantastic. Small while compared to XR.",https://www.amazon.in/gp/customer-reviews/R25O25F7KZX2DP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 6 November 2023,Colour: GreenSize: 256 GB,B09V4MXBSN,facing heating issue battery performance good screen 12 hr hanging didnt expect apple look fantastic small compared xr,face heat issu batteri perform good screen 12 hr hang didnt expect appl look fantast small compar xr,green,256GB,18,0,101,0.7579,positive
B09G9BL5CP,India,True,4,Stunning Design and a Beautiful Pink!,"I finally upgraded from my trusty iPhone 5s to the iPhone 13, and let me tell you, it feels like I’ve time-traveled from the past to the future! The pink color is absolutely gorgeous—it's the perfect blend of subtle and stylish, making the phone look sleek and modern. I’ve received so many compliments on it already.The design is everything you’d expect from Apple: premium, well-crafted, and just a pleasure to hold. Coming from a 5s, it’s almost like I was using a rotary phone before this. I half-expected Siri to say, “Welcome to the 21st century!”The display is bright and vibrant, the camera is a huge leap forward, and the overall performance is incredibly smooth. It’s crazy how much has changed—face ID feels like magic, and the battery life is a dream compared to my old 5s, which needed a charger practically glued to it.If you’re thinking about upgrading, especially if you’re coming from a much older model like I was, don’t hesitate. This iPhone 13 in pink is a stunner and well worth the leap!",https://www.amazon.in/gp/customer-reviews/RJID7UME915NJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 19 August 2024,Colour: PinkSize: 128 GB,B09G9FPGTN,finally upgraded trusty iphone 5 iphone 13 let tell feel like ive timetraveled past future pink color absolutely gorgeousits perfect blend subtle stylish making phone look sleek modern ive received many compliment already design everything youd expect apple premium wellcrafted pleasure hold coming 5 almost like using rotary phone halfexpected siri say welcome 21st century display bright vibrant camera huge leap forward overall performance incredibly smooth crazy much changedface id feel like magic battery life dream compared old 5 needed charger practically glued youre thinking upgrading especially youre coming much older model like dont hesitate iphone 13 pink stunner well worth leap,final upgrad trusti iphon 5s iphon 13 let tell feel like ive timetravel past futur pink color absolut gorgeousit perfect blend subtl stylish make phone look sleek modern ive receiv mani compliment alreadi design everyth youd expect appl premium wellcraft pleasur hold come 5s almost like use rotari phone halfexpect siri say welcom 21st centuri display bright vibrant camera huge leap forward overal perform incred smooth crazi much changedfac id feel like magic batteri life dream compar old 5s need charger practic glu your think upgrad especi your come much older model like dont hesit iphon 13 pink stunner well worth leap,pink,128GB,102,0,592,0.9888,positive
B09G9BL5CP,India,True,5,My favourite 🤩,"I really wanted to get an iPhone and it is my first iPhone but i loved it the sound quality is great and it charges fast, the phone is a bit heavy but it looks classy the display also works well and the camera is the best 🤍🤍",https://www.amazon.in/gp/customer-reviews/R33TKN32S1HW1S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 4 September 2024,Colour: PinkSize: 128 GB,B09G9FPGTN,really wanted get iphone first iphone loved sound quality great charge fast phone bit heavy look classy display also work well camera best,realli want get iphon first iphon love sound qualiti great charg fast phone bit heavi look classi display also work well camera best,pink,128GB,23,0,116,0.9531,positive
